"TGS 2600;TGS 2602;TGS 2610;label"
"965.29;218.47;2615.61;pertamax"
"1015.68;233.69;2676.95;pertamax"
"1132.78;248.14;2941.69;pertamax"
"1248.93;261.59;3013.12;pertamax"
"1333.98;258.17;2918.37;pertamax"
"1435.42;265.05;3013.12;pertamax"
"1484.52;261.59;3062.01;pertamax"
"1494.57;253.11;2918.37;pertamax"
"1494.57;261.59;2918.37;pertamax"
"1546.08;261.59;2872.44;pertamax"
"1556.63;261.59;2827.44;pertamax"
"1610.71;265.05;2895.28;pertamax"
"1610.71;263.32;2965.25;pertamax"
"1655.59;265.05;2989.06;pertamax"
"1655.59;261.59;2849.83;pertamax"
"1655.59;265.05;2827.44;pertamax"
"1678.60;266.80;2872.44;pertamax"
"1713.84;268.55;2827.44;pertamax"
"1678.60;263.32;2676.95;pertamax"
"1632.97;256.48;2595.57;pertamax"
"1632.97;256.48;2635.86;pertamax"
"1644.23;256.48;2635.86;pertamax"
"1667.05;251.45;2761.65;pertamax"
"1667.05;258.17;2872.44;pertamax"
"1690.25;261.59;2895.28;pertamax"
"1701.99;270.31;2941.69;pertamax"
"1749.97;275.66;2941.69;pertamax"
"1749.97;273.87;2918.37;pertamax"
"1749.97;275.66;2827.44;pertamax"
"1774.58;277.46;2895.28;pertamax"
"1774.58;286.63;3013.12;pertamax"
"1774.58;277.46;2872.44;pertamax"
"1737.83;268.55;2718.87;pertamax"
"1667.05;263.32;2536.60;pertamax"
"1667.05;261.59;2615.61;pertamax"
"1667.05;253.11;2498.24;pertamax"
"1610.71;241.63;2423.70;pertamax"
"1525.23;236.84;2299.92;pertamax"
"1454.83;224.46;2168.04;pertamax"
"1416.32;216.99;2075.30;pertamax"
"1379.01;227.50;2351.96;pertamax"
"1316.44;233.69;2442.07;pertamax"
"1307.78;232.13;2635.86;pertamax"
"1333.98;243.24;2805.29;pertamax"
"1397.52;256.48;3137.30;pertamax"
"1445.09;258.17;3162.93;pertamax"
"1425.84;249.79;3086.84;pertamax"
"1445.09;259.88;3086.84;pertamax"
"1445.09;259.88;3037.44;pertamax"
"1435.42;256.48;3188.84;pertamax"
"1435.42;261.59;3350.30;pertamax"
"1435.42;266.80;3435.08;pertamax"
"1397.52;258.17;3406.51;pertamax"
"1379.01;249.79;3268.26;pertamax"
"1351.78;238.43;3086.84;pertamax"
"1333.98;233.69;2918.37;pertamax"
"1282.17;219.95;2718.87;pertamax"
"1240.78;219.95;2635.86;pertamax"
"1257.15;218.47;2740.15;pertamax"
"1224.65;212.60;2595.57;pertamax"
"1193.12;209.72;2498.24;pertamax"
"1140.13;198.50;2369.64;pertamax"
"1103.92;194.42;2282.89;pertamax"
"1048.65;185.16;2168.04;pertamax"
"1009.22;178.75;2045.48;pertamax"
"965.29;177.49;2016.20;pertamax"
"935.21;177.49;2200.10;pertamax"
"889.18;171.30;2184.00;pertamax"
"867.10;166.46;2105.65;pertamax"
"835.07;161.73;2030.78;pertamax"
"804.32;158.25;1959.17;pertamax"
"779.61;152.57;1837.96;pertamax"
